,title,rating,ratingLevel,ratingDescription,release year,user rating score,user rating size,score_size,tsub,tpol,class
173,Cooper Barrett's Guide to Surviving Life,4,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2016,84.09421488,82,1.025539206,0.733333333,0.433333333,Parential Guidance
174,The Great British Baking Show,12,Parental guidance suggested. May not be suitable for all children.,70,2016,94,80,1.175,0.75,0.55,For Above 17
175,November Rule,4,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2015,84.09421488,82,1.025539206,0.733333333,0.433333333,Parential Guidance
176,Life in Pieces,4,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2015,68,80,0.85,0.733333333,0.433333333,Parential Guidance
177,Crazy Ex-Girlfriend,4,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2017,84.09421488,82,1.025539206,0.733333333,0.433333333,Parential Guidance
178,Easy,9,For mature audiences.  May not be suitable for children 17 and under.,110,2016,84.09421488,82,1.025539206,0.425,0.325,For Above 17
179,Haters Back Off,4,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2016,58,80,0.725,0.733333333,0.433333333,Parential Guidance
180,Kubo and the Two Strings,6,"thematic elements, scary images, action and peril",60,2016,96,80,1.2,0.366666667,-0.133333333,Parential Guidance
181,Skins,9,For mature audiences.  May not be suitable for children 17 and under.,110,2017,84.09421488,82,1.025539206,0.425,0.325,For Above 17
182,A Weekend with the Family,9,For mature audiences.  May not be suitable for children 17 and under.,110,2016,84.09421488,82,1.025539206,0.425,0.325,For Above 17
183,Crazyhead,9,For mature audiences.  May not be suitable for children 17 and under.,110,2016,84.09421488,82,1.025539206,0.425,0.325,For Above 17
184,Queen of Katwe,6,"thematic elements, an accident scene and some suggestive material",60,2016,84.09421488,81,1.038200184,0,0,Parential Guidance
185,Little Boxes,4,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2016,61,80,0.7625,0.733333333,0.433333333,Parential Guidance
186,Deidra & Laney Rob a Train,4,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2017,84.09421488,82,1.025539206,0.733333333,0.433333333,Parential Guidance
187,Girlboss,9,For mature audiences.  May not be suitable for children 17 and under.,110,2017,94,80,1.175,0.425,0.325,For Above 17
188,Hot Girls Wanted: Turned On,9,For mature audiences.  May not be suitable for children 17 and under.,110,2017,84.09421488,82,1.025539206,0.425,0.325,For Above 17
189,13 Reasons Why,9,For mature audiences.  May not be suitable for children 17 and under.,110,2017,99,80,1.2375,0.425,0.325,For Above 17
190,Hurricane Bianca,9,For mature audiences.  May not be suitable for children 17 and under.,110,2016,84.09421488,82,1.025539206,0.425,0.325,For Above 17
191,Honeytrap,0,This movie has not been rated.,124,2014,84.09421488,82,1.025539206,0,0,For All
192,Greenleaf,4,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2016,62,80,0.775,0.733333333,0.433333333,Parential Guidance
193,Lazy Eye,9,For mature audiences.  May not be suitable for children 17 and under.,110,2016,84.09421488,82,1.025539206,0.425,0.325,For Above 17
194,Like Cotton Twines,0,This movie has not been rated.,124,2016,84.09421488,82,1.025539206,0,0,For All
195,The Wedding Party,4,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2016,84.09421488,82,1.025539206,0.733333333,0.433333333,Parential Guidance
196,Dave Chappelle,9,For mature audiences.  May not be suitable for children 17 and under.,110,2017,94,80,1.175,0.425,0.325,For Above 17
197,Only for One Night,9,For mature audiences.  May not be suitable for children 17 and under.,110,2016,78,80,0.975,0.425,0.325,For Above 17
198,Boy Bye,9,For mature audiences.  May not be suitable for children 17 and under.,110,2016,84.09421488,82,1.025539206,0.425,0.325,For Above 17
199,Almost Adults,0,This movie has not been rated.,124,2016,84.09421488,82,1.025539206,0,0,For All
200,Nancy Drew,6,Parental guidance suggested. May not be suitable for children.,60,2007,84.09421488,82,1.025539206,0.75,0.55,Parential Guidance
201,30 Rock,4,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2012,66,80,0.825,0.733333333,0.433333333,Parential Guidance
202,Nurse Jackie,9,For mature audiences.  May not be suitable for children 17 and under.,110,2015,82,80,1.025,0.425,0.325,For Above 17
203,Parks and Recreation,4,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2015,94,80,1.175,0.733333333,0.433333333,Parential Guidance
204,Drop Dead Diva,12,Parental guidance suggested. May not be suitable for all children.,70,2014,84.09421488,82,1.025539206,0.75,0.55,For Above 17
